PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
AA000056,AUGUSTA SDA SCHOOL,3,13,4301 WHEELER RD,AUGUSTA,13073,073,GA,13,30907,7066510491,180,7.25,Yes,,,5,,3,4,3,2,1,3,3,,,,,24,24,0,2,10,5,4,1,2,2.6,21,1,3,1,2,2,0,8.33,41.67,20.83,16.67,4.17,8.33,9.23,28,COLUMBIA,American Association of Christian Schools (AACS),General Conference of the Seventh-Day Adventist Church (GCSDAC),National Association of Private Special Education Centers (NAPSEC),,,,,
A0700691,BARNES ACADEMY,3,17,154 HART SERVICE RD,HARTWELL,13147,147,GA,13,30643,7063773856,180,7,Yes,,,3,3,3,4,7,10,5,8,8,4,13,4,9,81,81,0,0,0,7,74,0,0,13.3,41,1,1,3,2,4,0,0,0,8.64,91.36,0,0,6.09,8,HART,This school does not belong to ANY associations or organizations,,,,,,,
01929336,BARROW COUNTY CHRISTIAN ACADEMY,3,16,83 PATRICK MILL RD SW,WINDER,13013,013,GA,13,30680,7708675746,160,8,No,,,2,,,1,2,6,2,5,6,2,2,6,,34,34,,,,,,,,7,41,1,1,3,2,4,,,,,,,,4.86,8,BARROW,This school does not belong to ANY associations or organizations,,,,,,,
A1300995,BEMISS ACADEMY,2,3,5921 BEMISS RD,VALDOSTA,13185,185,GA,13,31605,2292472705,180,6.5,Yes,,6,5,,,,,,,,,,,,,11,5,0,0,0,2,2,0,1,1,41,1,7,1,2,4,0,0,0,40,40,0,20,5,8,LOWNDES,This school does not belong to ANY associations or organizations,,,,,,,
A9303095,BEN FRANKLIN ACADEMY,13,17,1585 CLIFTON RD NE,ATLANTA,13089,089,GA,13,30329,4046337404,180,,,,,,,,,,,,,3,11,26,38,32,110,110,0,5,6,6,93,0,0,24.5,21,1,1,2,3,2,0,4.55,5.45,5.45,84.55,0,0,4.49,30,DEKALB,National Association of Private Special Education Centers (NAPSEC),State or regional independent school association,,,,,,
A0501395,BEN HILL UMC CHRISTIAN ACADEMY,2,3,2099 FAIRBURN RD SW,ATLANTA,13121,121,GA,13,30331,6788910709,180,6,No,,15,13,,,,,,,,,,,,,28,13,0,0,0,13,0,0,0,1.9,11,1,7,1,2,1,0,0,0,100,0,0,0,6.84,25,FULTON,National Association for the Education of Young Children (NAEYC),,,,,,,
A0901277,BEREAN CHRISTIAN ACADEMY,3,13,2197 YOUNG RD,STONE MOUNTAIN,13089,089,GA,13,30088,6785181678,180,7.5,Yes,,,26,22,21,20,16,20,21,34,24,,,,,204,204,0,0,0,202,0,0,2,15,21,1,1,1,2,2,0,0,0,99.02,0,0,0.98,13.6,8,DEKALB,Association of Christian Schools International (ACSI),,,,,,,
A0501396,BEREAN CHRISTIAN JR ACADEMY,3,3,401 HAMILTON E HOLMES DR NW,ATLANTA,13121,121,GA,13,30318,4047990337,180,7,Yes,,,5,,,,,,,,,,,,,5,5,0,0,0,5,0,0,0,9,11,1,7,1,2,1,0,0,0,100,0,0,0,0.56,28,FULTON,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
A0102862,BETHESDA ACADEMY,11,17,9520 FERGUSON AVE,SAVANNAH,13051,051,GA,13,31406,9123512055,176,7,Yes,,,,,,,,,8,13,15,21,22,23,20,122,122,0,0,0,89,33,0,0,10.5,21,3,1,3,2,2,0,0,0,72.95,27.05,0,0,11.62,28,CHATHAM,Other religious school association(s),National Association of Independent Schools (NAIS),,,,,,
A0501399,BETHLEHEM CHRISTIAN ACADEMY,2,17,544 CHRISTMAS AVE. (HWY 11 N.),BETHLEHEM,13013,013,GA,13,30620,7703071574,180,7,Yes,,100,29,31,32,33,29,30,38,42,43,37,39,39,44,566,466,3,6,19,13,409,0,16,43,41,1,1,3,2,4,0.64,1.29,4.08,2.79,87.77,0,3.43,10.84,8,BARROW,Association of Christian Schools International (ACSI),State or regional independent school association,,,,,,
